step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
75,,,,,7.109349826350808e-05,9.426334872841835e-05,3.7903329939581454e-05,3.7903329939581454e-05,,,,
76,,,,,7.897653995314613e-05,0.0001100555164157413,4.223965515848249e-05,4.223965515848249e-05,,,,
77,,,,,6.673546158708632e-05,9.122291521634907e-05,3.5648303310154006e-05,3.5648303310154006e-05,,,,
78,,,,,7.464618829544634e-05,0.00010597498476272449,3.997247404186055e-05,3.997247404186055e-05,,,,
79,,,,,6.57883720123209e-05,9.205062815453857e-05,3.5195451346226037e-05,3.5195451346226037e-05,,,,
80,5.3664840379497036e-05,7.316391565836966e-05,2.8661514079431072e-05,2.8661514079431072e-05,6.385179585777223e-05,8.863904076861218e-05,3.4141870855819434e-05,3.4141870855819434e-05,99.30180949129395,99.49152542372882,2.430509374209261,2.282429507553701
81,,,,,6.724298145854846e-05,9.347173181595281e-05,3.595828457036987e-05,3.595828457036987e-05,,,,
82,,,,,7.007562817307189e-05,0.00010014056169893593,3.7541329220402986e-05,3.7541329220402986e-05,,,,
83,,,,,6.963400664972141e-05,9.455707186134532e-05,3.7180932849878445e-05,3.7180932849878445e-05,,,,
84,,,,,7.009071850916371e-05,0.00010036179446615279,3.7554400478256866e-05,3.7554400478256866e-05,,,,
85,,,,,6.97951327310875e-05,9.637729090172797e-05,3.730699245352298e-05,3.730699245352298e-05,,,,
86,,,,,6.505311466753483e-05,9.228232374880463e-05,3.4833617974072695e-05,3.4833617974072695e-05,,,,
87,,,,,5.4374238970922306e-05,8.06908865342848e-05,2.9204393285908736e-05,2.9204393285908736e-05,,,,
88,,,,,6.0690988902933896e-05,8.326480747200549e-05,3.2427120459033176e-05,3.2427120459033176e-05,,,,
89,,,,,6.397288962034509e-05,8.973581861937419e-05,3.422983718337491e-05,3.422983718337491e-05,,,,
90,6.186813698150218e-05,8.908742893254384e-05,3.316125730634667e-05,3.316125730634667e-05,5.956404856988229e-05,8.612395322415978e-05,3.19351238431409e-05,3.19351238431409e-05,98.95133306434091,99.15254237288134,2.7915093425797064,2.33349811561853
91,,,,,5.9197325754212216e-05,8.957567479228601e-05,3.183805529261008e-05,3.183805529261008e-05,,,,
92,,,,,6.15133176324889e-05,8.989692287286744e-05,3.3004085707943887e-05,3.3004085707943887e-05,,,,
93,,,,,4.939810969517566e-05,7.696053216932341e-05,2.6623067242326215e-05,2.6623067242326215e-05,,,,
94,,,,,5.4439311497844756e-05,8.249741949839517e-05,2.9282089599291794e-05,2.9282089599291794e-05,,,,
95,,,,,5.244050043984316e-05,7.870876288507134e-05,2.818797111103777e-05,2.818797111103777e-05,,,,
96,,,,,4.737668496090919e-05,7.382041803793982e-05,2.553385274950415e-05,2.553385274950415e-05,,,,
97,,,,,4.911723954137415e-05,7.549456495326012e-05,2.6445983166922815e-05,2.6445983166922815e-05,,,,
98,,,,,5.014095950173214e-05,7.52400083001703e-05,2.695148032216821e-05,2.695148032216821e-05,,,,
99,,,,,5.4108611948322505e-05,8.072698983596638e-05,2.9072481993352994e-05,2.9072481993352994e-05,,,,
100,5.6695174862397835e-05,7.931999425636604e-05,3.033058783330489e-05,3.033058783330489e-05,4.8279664042638615e-05,7.457652100129053e-05,2.6004243409261107e-05,2.6004243409261107e-05,99.1341448998369,99.32203389830508,2.5252305003795548,2.1886049250966493
