step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
160,2.343309643038083e-05,3.463967004790902e-05,1.2582539056893438e-05,1.2582539056893438e-05,3.5745248169405386e-05,7.28464947314933e-05,1.969378899957519e-05,1.969378899957519e-05,100.0,100.0,1.3650927659941883,1.3650927659941883
161,,,,,3.2367017411161214e-05,6.933497206773609e-05,1.791688373486977e-05,1.791688373486977e-05,,,,
162,,,,,3.430772267165594e-05,6.905388727318496e-05,1.8880209609051235e-05,1.8880209609051235e-05,,,,
163,,,,,3.914206172339618e-05,7.747076597297564e-05,2.1507796191144735e-05,2.1507796191144735e-05,,,,
164,,,,,4.1250488720834255e-05,7.8981502156239e-05,2.2599782823817804e-05,2.2599782823817804e-05,,,,
165,,,,,4.2231131374137476e-05,8.15592793514952e-05,2.3154550945037045e-05,2.3154550945037045e-05,,,,
166,,,,,3.900101000908762e-05,7.57840316509828e-05,2.1395106159616262e-05,2.1395106159616262e-05,,,,
167,,,,,3.209193528164178e-05,6.48585773888044e-05,1.7667429347056895e-05,1.7667429347056895e-05,,,,
168,,,,,3.4620126825757325e-05,6.655495963059366e-05,1.8973938495037146e-05,1.8973938495037146e-05,,,,
169,,,,,4.28190287493635e-05,8.398968202527612e-05,2.3509257516707294e-05,2.3509257516707294e-05,,,,
170,2.4199229301302694e-05,3.552565613063052e-05,1.2987758054805454e-05,1.2987758054805454e-05,4.0765451558399945e-05,7.849229587009177e-05,2.23450297198724e-05,2.23450297198724e-05,100.0,100.0,1.3638985796672543,1.3515568832678297
171,,,,,3.0246654205257073e-05,6.514289270853624e-05,1.6751901057432406e-05,1.6751901057432406e-05,,,,
172,,,,,3.554714930942282e-05,7.043561345199123e-05,1.9534465536708012e-05,1.9534465536708012e-05,,,,
173,,,,,3.061105962842703e-05,6.451078661484644e-05,1.6918298570089974e-05,1.6918298570089974e-05,,,,
174,,,,,3.7088040699018165e-05,7.288694905582815e-05,2.0366194803500548e-05,2.0366194803500548e-05,,,,
175,,,,,3.210152863175608e-05,6.752585613867268e-05,1.773891199263744e-05,1.773891199263744e-05,,,,
176,,,,,3.372344872332178e-05,6.878493877593428e-05,1.8581347831059247e-05,1.8581347831059247e-05,,,,
177,,,,,2.569077696534805e-05,5.6003376812441275e-05,1.4245471902540885e-05,1.4245471902540885e-05,,,,
178,,,,,3.942747935070656e-05,7.591188477817923e-05,2.1611536794807762e-05,2.1611536794807762e-05,,,,
